doc_id,token,label
0,Billed,O
0,By,O
0,:,O
0,Beacon,B-Vendor
0,Automotive,I-Vendor
0,Invoice,O
0,Date,O
0,:,O
0,2023-04-09,B-Date
0,Bill,O
0,To,O
0,:,O
0,Customer,O
0,Account,O
0,#,O
0,5210,O
0,Subtotal,O
0,:,O
0,$125.80,O
0,www.beaconautomotive.com,O
0,GST,O
0,(,O
0,9.0%,O
0,),O
0,:,O
0,$11.32,B-Tax
0,info,O
0,@,O
0,beaconautomotive.net,O
0,Amount,O
0,Due,O
0,:,O
0,$137.12,B-Total
0,4505,O
0,Aspen,O
0,Boulevard,O
0,",",O
0,Millbrook,O
0,",",O
0,NY,O
0,99594,O
0,This,O
0,invoice,O
0,was,O
0,generated,O
0,automatically.,O
1,Billed,O
1,By,O
1,:,O
1,Ridgemont,B-Vendor
1,Media,I-Vendor
1,Group,I-Vendor
1,Group,I-Vendor
1,Bill,O
1,Date,O
1,:,O
1,2026-09-27,B-Date
1,Bill,O
1,To,O
1,:,O
1,Customer,O
1,Account,O
1,#,O
1,2389,O
1,Tax,O
1,(,O
1,6.0%,O
1,),O
1,:,O
1,$114.64,B-Tax
1,+,O
1,1,O
1,(,O
1,395,O
1,),O
1,632,O
1,-,O
1,7540,O
1,Balance,O
1,Due,O
1,:,O
1,"$2,025.37",B-Total
1,This,O
1,invoice,O
1,was,O
1,generated,O
1,automatically.,O
1,4,O
1,x,O
1,Equipment,O
1,Rental,O
1,(,O
1,weekly,O
1,),O
2,8752,O
2,Pine,O
2,Avenue,O
2,",",O
2,Highland,O
2,Park,O
2,",",O
2,NJ,O
2,86055,O
2,Whitfield,B-Vendor
2,Timber,I-Vendor
2,Group,I-Vendor
2,Invoice,O
2,Number,O
2,:,O
2,INV-,O
2,46224,O
2,www.whitfieldtimberg.com,O
2,Issued,O
2,:,O
2,02/16/2026,B-Date
2,Bill,O
2,To,O
2,:,O
2,Customer,O
2,Account,O
2,#,O
2,9709,O
2,Subtotal,O
2,:,O
2,"$1,273.86",O
2,Tax,O
2,(,O
2,7.5%,O
2,),O
2,:,O
2,$95.54,B-Tax
2,Amount,O
2,Due,O
2,:,O
2,"$1,369.40",B-Total
2,Please,O
2,remit,O
2,payment,O
2,within,O
2,30,O
2,days.,O
3,Sold,O
3,By,O
3,:,O
3,Willow,B-Vendor
3,Publishing,I-Vendor
3,Trust,I-Vendor
3,Company,I-Vendor
3,Invoice,O
3,Number,O
3,:,O
3,INV-,O
3,14958,O
3,Invoice,O
3,Date,O
3,:,O
3,2026-10-17,B-Date
3,Bill,O
3,To,O
3,:,O
3,Customer,O
3,Account,O
3,#,O
3,8232,O
3,info,O
3,@,O
3,willowpublishing.com,O
3,4,O
3,x,O
3,Equipment,O
3,Rental,O
3,(,O
3,weekly,O
3,),O
3,Tax,O
3,(,O
3,7.5%,O
3,),O
3,:,O
3,$125.90,B-Tax
3,Total,O
3,Due,O
3,:,O
3,"$1,804.50",B-Total
3,Questions,O
3,about,O
3,this,O
3,invoice,O
3,?,O
3,Contact,O
3,billing.,O
4,Vendor,O
4,:,O
4,Amber,B-Vendor
4,Transport,I-Vendor
4,Enterprises,I-Vendor
4,Invoice,O
4,Number,O
4,:,O
4,INV-,O
4,30377,O
4,Order,O
4,Date,O
4,:,O
4,10/30/2024,B-Date
4,Bill,O
4,To,O
4,:,O
4,Customer,O
4,Account,O
4,#,O
4,4267,O
4,Subtotal,O
4,:,O
4,"$3,656.66",O
4,VAT,O
4,(,O
4,8.0%,O
4,),O
4,:,O
4,$292.53,B-Tax
4,Total,O
4,Payable,O
4,:,O
4,"$3,949.20",B-Total
4,This,O
4,invoice,O
4,was,O
4,generated,O
4,automatically.,O
5,Issued,O
5,By,O
5,:,O
5,Marchetti,B-Vendor
5,&,I-Vendor
5,Fairhaven,I-Vendor
